Ticker,Class,Sector,T,BIC_winner,LLF_winner,GARCH_LLF,GARCH_BIC,GARCH_beta,SEARCH_LLF,SEARCH_BIC,SEARCH_alpha,SEARCH_c,GMARCH_LLF,GMARCH_BIC,GMARCH_delta,GMARCH_lam,GMARCH_H,FIGARCH_LLF,FIGARCH_BIC,FIGARCH_d,FIGARCH_phi,FIGARCH_beta1,HYGARCH_LLF,HYGARCH_BIC,HYGARCH_d,HYGARCH_tau
EWZ,International,Brazil,6465,SEARCH,SEARCH,-7140.263045,14315.298064,0.899613,-7126.393374,14296.251716,0.335355,1.463472,-7130.572653,14304.610273,-0.499876,0.044484,0.250062,-7127.834506,14307.826974,0.006792,0.900474,0.894511,-7127.833254,14316.517464,0.007865,0.892962
EWY,International,South Korea,6508,SEARCH,FIGARCH,-5825.317788,11685.436301,0.903945,-5818.131520,11679.763946,0.410881,0.946910,-5823.863745,11691.228397,-0.391093,0.049199,0.304453,-5814.881821,11681.964730,0.000277,0.884568,0.884237,-5824.567503,11710.036274,0.006762,0.213916
FXI,International,China,5402,SEARCH,SEARCH,-5123.348268,10280.682865,0.912184,-5111.832380,10266.147672,0.367402,1.204320,-5115.457508,10273.397928,-0.497702,0.040993,0.251149,-5114.262288,10279.504070,0.000831,0.903020,0.902243,-5114.262586,10288.001248,0.001049,1.000000
EWH,International,Hong Kong,6599,SEARCH,HYGARCH,-4445.627517,8926.115931,0.910714,-4432.288237,8908.152594,0.307210,1.621982,-4437.656764,8918.889648,-0.499646,0.038745,0.250177,-4429.946731,8912.184805,0.000633,0.900002,0.899566,-4429.943627,8920.893823,0.000497,0.960448
EWT,International,Taiwan,6479,SEARCH,FIGARCH,-5039.485803,10113.752963,0.904452,-5018.709678,10080.896052,0.275086,1.932211,-5028.556728,10100.590152,-0.493830,0.039270,0.253085,-5018.533471,10089.238977,0.000367,0.883052,0.882823,-5018.536014,10097.939403,0.000428,1.000000
FXE,Currency,EUR/USD,5105,GARCH,GMARCH,689.089762,-1344.443408,0.958405,689.243868,-1336.317591,1.182846,0.019906,689.394864,-1336.619582,0.139894,0.050646,0.569947,689.089762,-1327.575350,0.000000,0.999197,0.958405,689.089762,-1319.141322,0.000000,0.000000
FXY,Currency,JPY/USD,4812,SEARCH,SEARCH,263.680196,-493.887476,0.929467,275.661805,-509.482464,0.293748,1.578960,272.575598,-503.310051,-0.499801,0.026834,0.250099,274.072363,-497.935352,0.000516,0.922060,0.921865,274.081065,-489.584527,0.000328,0.999351
FXB,Currency,GBP/USD,4971,GARCH,SEARCH,427.464363,-821.310836,0.918270,430.126975,-818.231589,0.535802,0.504434,428.700704,-815.379047,-0.359050,0.046458,0.320475,429.847902,-809.268971,0.000374,0.912145,0.911592,429.945182,-801.059058,0.003082,0.487189
FXA,Currency,AUD/USD,4971,GARCH,SEARCH,-506.132729,1045.883347,0.944794,-505.332727,1052.687815,0.694902,0.196278,-505.868415,1053.759191,-0.129121,0.046537,0.435439,-505.604505,1061.635843,0.000102,0.945996,0.945719,-506.132730,1071.096765,0.000455,0.000800
FXC,Currency,CAD/USD,4971,GARCH,FIGARCH,1126.668523,-2219.719157,0.953777,1126.756225,-2211.490089,0.841453,0.091371,1126.733940,-2211.445518,-0.068447,0.042938,0.465776,1127.548517,-2204.670201,0.000176,0.955626,0.955352,1127.539921,-2196.248536,0.000347,0.888046
