Ticker,Class,Sector,T,BIC_winner,LLF_winner,GARCH_LLF,GARCH_BIC,GARCH_beta,SEARCH_LLF,SEARCH_BIC,SEARCH_alpha,SEARCH_c,GMARCH_LLF,GMARCH_BIC,GMARCH_delta,GMARCH_lam,GMARCH_H,FIGARCH_LLF,FIGARCH_BIC,FIGARCH_d,FIGARCH_phi,FIGARCH_beta1,HYGARCH_LLF,HYGARCH_BIC,HYGARCH_d,HYGARCH_tau
CAT,US Stock,Industrials,6599,SEARCH,SEARCH,-6671.431834,13377.724565,0.948647,-6664.361875,13372.299870,0.415889,0.687660,-6667.452737,13378.481594,-0.416452,0.023737,0.291774,-6666.721837,13385.735018,0.000247,0.951993,0.951846,-6666.727919,13394.462406,0.000337,1.000000
BA,US Stock,Industrials,6599,SEARCH,SEARCH,-6606.021327,13246.903550,0.928737,-6577.550388,13198.676896,0.216315,2.690308,-6587.891051,13219.358223,-0.500000,0.029855,0.250000,-6577.778465,13207.848275,0.000474,0.911903,0.911764,-6577.772830,13216.552227,0.000403,1.000000
MMM,US Stock,Industrials,6599,SEARCH,SEARCH,-5065.855107,10166.571110,0.929785,-5007.760839,10059.097799,0.026095,30.008046,-5051.199219,10145.974558,-0.496026,0.031958,0.251987,-5011.422331,10075.136006,0.000706,0.997421,0.997413,-5011.410155,10083.826878,0.000560,1.000000
HON,US Stock,Industrials,6599,SEARCH,HYGARCH,-5123.036295,10280.933487,0.920888,-5089.310391,10222.196902,0.213913,2.807376,-5101.657621,10246.891362,-0.499808,0.031951,0.250096,-5089.147995,10230.587335,0.000874,0.883267,0.882922,-5089.147528,10239.301625,0.000747,1.000000
TSLA,US Stock,High Vol,3962,GMARCH,GMARCH,-5934.628154,11901.850091,0.954411,-5930.557917,11901.858062,0.435379,0.620081,-5930.432540,11901.607307,-0.449519,0.020517,0.275241,-5931.138672,11911.168017,0.011503,0.968487,0.962850,-5931.136494,11919.312109,0.006435,1.000000
AMD,US Stock,High Vol,6599,SEARCH,SEARCH,-10730.715620,21496.292137,0.945429,-10705.059653,21453.695427,0.150685,4.572332,-10711.275758,21466.127637,-0.497332,0.023492,0.251334,-10706.524987,21465.341319,0.056656,0.981402,0.978202,-10706.525032,21474.056632,0.056662,0.999850
MU,US Stock,High Vol,6599,SEARCH,HYGARCH,-9753.496765,19541.854425,0.951437,-9748.410076,19540.396272,0.430800,0.640097,-9749.261736,19542.099592,-0.435134,0.022148,0.282433,-9747.130010,19546.551365,0.000344,0.955928,0.955758,-9747.129817,19555.266202,0.000621,0.665456
F,US Stock,High Vol,6599,SEARCH,HYGARCH,-7817.237461,15669.335819,0.919549,-7769.204409,15581.984939,0.047723,19.908831,-7792.734331,15629.044783,-0.497152,0.037509,0.251424,-7769.521250,15591.333845,0.076726,0.967450,0.965589,-7768.982708,15598.971984,0.099198,1.000000
CL,US Stock,Low Vol,6599,SEARCH,FIGARCH,-3831.811357,7698.483610,0.830752,-3803.993356,7651.562833,0.081283,10.994576,-3820.446090,7684.468300,-0.498371,0.077366,0.250814,-3803.610278,7659.511901,0.105907,0.978559,0.973300,-3803.610291,7668.227150,0.105928,0.999777
SO,US Stock,Low Vol,6599,SEARCH,SEARCH,-3185.451843,6405.764581,0.895561,-3164.588738,6372.753596,0.286213,2.066879,-3170.931227,6385.438574,-0.499998,0.051758,0.250001,-3167.518387,6387.328119,0.097823,0.967677,0.941980,-3167.518387,6396.043343,0.097823,1.000000
DUK,US Stock,Low Vol,6599,SEARCH,SEARCH,-3851.139849,7737.140593,0.927077,-3825.669490,7694.915100,0.285775,1.782360,-3832.513035,7708.602190,-0.499999,0.032834,0.250000,-3828.266698,7708.824740,0.007610,0.921982,0.918775,-3828.266696,7717.539961,0.007617,0.999925
PEP,US Stock,Low Vol,6599,SEARCH,HYGARCH,-3133.748497,6302.357890,0.902022,-3097.673185,6238.922491,0.134165,6.105939,-3116.472449,6276.521019,-0.494432,0.048735,0.252784,-3096.692922,6245.677188,0.042994,0.889346,0.876661,-3096.626056,6254.258680,0.067152,0.061689
VNQ,US Stock,REITs,5409,SEARCH,SEARCH,-3416.507186,6867.006413,0.896254,-3400.846984,6844.184019,0.380800,1.229395,-3403.571639,6849.633330,-0.499997,0.049900,0.250001,-3402.849683,6856.687429,0.090498,0.975885,0.939449,-3402.849690,6865.185452,0.090487,0.999980
SPG,US Stock,REITs,6599,SEARCH,SEARCH,-5719.709515,11474.279926,0.903627,-5688.626595,11420.829311,0.255055,2.396638,-5701.670716,11446.917553,-0.481418,0.050779,0.259291,-5690.350212,11432.991767,0.080590,0.958896,0.938633,-5690.350218,11441.707004,0.080592,0.999973
ORCL,US Stock,Other,6599,SEARCH,HYGARCH,-6773.044792,13580.950480,0.883853,-6747.368546,13538.313212,0.113572,6.524998,-6767.110186,13577.796492,-0.491659,0.027771,0.254171,-6749.186670,13550.664684,0.001688,0.996079,0.996078,-6744.706356,13550.419279,0.001015,0.984358
TXN,US Stock,Other,6599,SEARCH,SEARCH,-6781.296257,13597.453409,0.958888,-6764.598095,13572.772310,0.318835,1.130926,-6769.222858,13582.021837,-0.498519,0.014915,0.250740,-6771.265517,13594.822377,0.000572,0.961954,0.961787,-6771.264066,13603.534700,0.000477,0.999997
V,US Stock,Other,4536,SEARCH,HYGARCH,-3357.492780,6748.193630,0.863359,-3339.091280,6719.692650,0.190162,4.117671,-3346.224008,6733.958105,-0.499845,0.069895,0.250077,-3337.851089,6725.514286,0.034199,0.842312,0.822367,-3337.795353,6733.704832,0.057395,0.040010
MA,US Stock,Other,4992,FIGARCH,FIGARCH,-4294.541709,8622.720068,0.866012,-4278.025180,8598.096171,0.185192,4.201173,-4288.875948,8619.797707,-0.499988,0.065489,0.250006,-4270.680019,8591.815013,0.000392,0.811397,0.810936,-4270.681155,8600.226448,0.000459,0.852859
BRK-B,US Stock,Other,6599,SEARCH,SEARCH,-3469.166291,6973.193477,0.851084,-3451.403237,6946.382595,0.328822,1.828703,-3457.401651,6958.379423,-0.499944,0.076319,0.250028,-3456.884383,6966.060110,0.111674,0.963389,0.917653,-3456.884390,6974.775348,0.111673,0.999977
DIS,US Stock,Other,6599,SEARCH,HYGARCH,-5799.865904,11634.592705,0.914659,-5776.516533,11596.609186,0.151736,4.397591,-5790.670104,11624.916328,-0.499848,0.035958,0.250076,-5774.001109,11600.293561,0.000490,0.895804,0.895650,-5773.994716,11608.996000,0.000513,0.974053
NFLX,US Stock,Other,6001,GMARCH,HYGARCH,-8968.993861,17972.435552,0.982850,-8967.273516,17977.606821,0.414498,0.452170,-8964.160508,17971.380804,-0.362731,0.010124,0.318635,-8961.792249,17975.256245,0.040584,0.999991,0.986571,-8961.784379,17983.852461,0.078371,0.526057
