family,lr_obs,p_boot,p_analytic,lam_hat,d_hat,n_boot_ok,lr_star_mean,lr_star_var,degenerate,reject_longmem_boot,Ticker,Class,lb_d_lw,lb_se_lw,lb_z_lw,lb_d_lw_shiftadj,lb_bw_drift,lensB_LM,kernel_summable,kernel_degenerate,verdict
tfarch,33.08379102948311,0.001,4.413576639704224e-09,0.0807388267546867,0.6702981769329227,999,0.6183711123939638,1.4616045372150894,False,True,BNO,Commodity,0.4312959391037489,0.0337099931231621,12.794305164286904,0.4085011500407609,-0.088236370741287,True,True,False,indeterminate
tfarch,41.19868357871928,0.001,6.875756317085158e-11,0.093272240160098,0.963027262868394,999,0.8010391428378729,2.240425272255301,False,True,CORN,Commodity,0.4068845768626542,0.0337099931231621,12.0701471334055,0.3684606913443827,-0.3442606340910573,True,True,False,indeterminate
tfarch,133.57557362238185,0.001,3.382880730553977e-31,0.3584611123389395,2.1130100576793858,999,0.7998172962403902,2.055454868507098,False,True,CPER,Commodity,0.1166031278078754,0.0347524023428457,3.355253736347225,0.076745889751659,-1.1213519463107402,False,True,False,summable
tfarch,53.85029769254152,0.001,1.08181154561947e-13,0.0684471441546935,0.9754592993693848,999,0.5691105035919471,1.4612717741505197,False,True,DBA,Commodity,0.3984690439704029,0.0316227766016837,12.600697560162567,0.3080611363877528,-1.2072098708460577,False,True,False,summable
tfarch,11.92149529613198,0.001,0.0002774496123148,0.0139894215419767,0.401364575339521,999,0.6199887326556222,1.662201350769066,False,True,DBB,Commodity,0.3813042090276575,0.0316227766016837,12.057897819363356,0.2968535881998997,-0.9137270184293604,False,True,False,summable
tfarch,22.517256903488487,0.001,1.0413211055278378e-06,0.0225399490155774,0.4439524694472429,999,0.6251759589382214,1.6677980350641235,False,True,DBC,Commodity,0.3831225021322356,0.0311891430775902,12.283841886233589,0.3545625912737213,-0.7373537202209627,False,True,False,summable
tfarch,52.13027328313001,0.001,2.596900145167356e-13,0.0371635783842645,0.6418625483696495,999,0.599557144771358,1.6932197217758116,False,True,GLD,Commodity,0.4040431752783583,0.0305995030681052,13.204239767524347,0.3844914464569211,-0.5584286950483408,True,True,False,indeterminate
tfarch,3.235669203422731,0.04,0.0360254307892713,0.0080231731883462,0.111455690853658,999,0.5717355631382967,1.373806352455894,False,True,PALL,Commodity,0.2926644347684298,0.033407655239053,8.760400353578525,0.255336963220613,-0.7076308528021398,False,True,False,summable
tfarch,9.500545713869542,0.001,0.0010270539825998,0.015778207421139,0.4154307124337836,999,0.5721390792347134,1.374601878160295,False,True,PPLT,Commodity,0.3415845670387971,0.033407655239053,10.224739347749551,0.2896151031712599,-0.6166156824791293,False,True,False,summable
tfarch,57.58457360070679,0.001,1.6187740893388473e-14,0.0330951589433393,0.5498458668098385,999,0.5907109286689392,1.5301885382403138,False,True,SLV,Commodity,0.3990381487479041,0.0313112145542574,12.74425647259492,0.3821127275567644,-0.5733392869784166,True,True,False,indeterminate
tfarch,51.281130397173,0.001,4.0020661567316977e-13,0.120219310516575,1.315642854652,999,0.8012039430516805,2.181449744371371,False,True,SOYB,Commodity,0.3381042509747748,0.0346687622640768,9.75241770673517,0.2841541612110321,-0.2681109871049143,True,True,False,indeterminate
