dgp,innov,alpha,lr,wald2,scaled,mu4,rej_lr,rej_wald,rej_scaled
garch,gauss,1.0753684486939719,0.08450566680585325,0.0885229230482465,0.08521840586908745,2.983272649706001,0,0,0
garch,gauss,1.698945054054381,2.852402931595634,0.9455437383383213,2.7791645921281387,3.0527052911331265,0,0,0
garch,gauss,1.4858112571077493,2.0145408231422834,2.1772822395884837,2.1110010185843686,2.9086118911427423,0,0,0
garch,gauss,1.1360143186534069,0.26501383324125527,0.3466760115631817,0.26656980085374343,2.9883260023640723,0,0,0
garch,gauss,0.673068769458824,1.4064399995937151,1.5968943956741306,1.4226935028145384,2.9771510825224565,0,0,0
garch,gauss,2.4698900011370135,3.639002896740749,0.36616071478791246,3.707570169652002,2.9630122857970407,0,0,0
garch,gauss,1.9624937921657717,3.61477515888555,0.8613865647712569,3.732944715967488,2.9366882897694824,0,0,0
garch,gauss,1.1439874925156408,0.21909616506945895,0.17749596083526534,0.22742358512626618,2.926767313494035,0,0,0
garch,gauss,1.3082931884545497,0.5443763395128371,0.19796056146365723,0.524135898378034,3.077233561743961,0,0,0
garch,gauss,0.8030211784256105,0.8328700587508138,1.3073232195168563,0.765986195686056,3.1746346433955073,0,0,0
garch,gauss,0.7401901303881775,0.8922306657182162,1.0091747733661143,0.90480615542697,2.972202908582514,0,0,0
garch,gauss,3.8364708233163594,7.550544144446121,1.2913467258577875,8.121688121117264,2.8593533836429628,1,0,1
garch,gauss,0.7933606128324687,0.7139201893046447,0.9204221717035895,0.6918423588015564,3.063823297958606,0,0,0
garch,gauss,1.2844100876632523,0.4552902821573923,0.2539227187192552,0.4634656834641946,2.9647205754450043,0,0,0
garch,gauss,0.7422886290006394,0.5464483892230874,0.7259093799317489,0.5760533757854165,2.897214432527318,0,0,0
garch,gauss,0.9597649339657697,0.013440798092688055,0.00897784751187892,0.013205569142240777,3.035625719408768,0,0,0
garch,gauss,0.9289632548927483,0.05258284217370601,0.04275222228163378,0.05382418563589032,2.953874138641623,0,0,0
garch,gauss,1.7814809423768725,1.6288139805219544,0.6583251965379961,1.7109216880382814,2.904019327020782,0,0,0
garch,gauss,1.6440118178241305,2.7147097033800947,1.585586857502588,2.6903395728788118,3.0181167691595197,0,0,0
garch,gauss,1.2002232899069891,0.45257903916547093,0.4633039626408217,0.4534359223861585,2.9962204881511005,0,0,0
garch,gauss,1.3895010609456322,1.01455205329637,0.5208273290559652,1.0576473990555102,2.918507158817533,0,0,0
