Date,Ticker,Name,Class,Sector,AdjClose,Volume,LogRet
2011-03-30,F,Ford Motor,US Stock,High Vol,7.56117296218872,40889600.0,0.134700604066396
2011-03-31,F,Ford Motor,US Stock,High Vol,7.58661222457886,41909100.0,0.335881265714022
2011-04-01,F,Ford Motor,US Stock,High Vol,7.7138204574585,116247300.0,1.66284400778269
2011-04-04,F,Ford Motor,US Stock,High Vol,7.91226291656494,99116600.0,2.54002392500596
2011-04-05,F,Ford Motor,US Stock,High Vol,8.03438186645508,72322800.0,1.53162422363384
2011-04-06,F,Ford Motor,US Stock,High Vol,8.00385284423828,62315800.0,-0.380703483147915
2011-04-07,F,Ford Motor,US Stock,High Vol,7.90208625793457,51295100.0,-1.27962233829191
2011-04-08,F,Ford Motor,US Stock,High Vol,7.80032014846802,51126100.0,-1.29620303633571
2011-04-11,F,Ford Motor,US Stock,High Vol,7.56117296218872,85626200.0,-3.11384456436099
2011-04-12,F,Ford Motor,US Stock,High Vol,7.58661222457886,82591000.0,0.335881265714022
2011-04-13,F,Ford Motor,US Stock,High Vol,7.62223052978516,58736600.0,0.46839027663772
2011-04-14,F,Ford Motor,US Stock,High Vol,7.535728931427,62357700.0,-1.1413480502656
2011-04-15,F,Ford Motor,US Stock,High Vol,7.4848484992981,47434700.0,-0.677478971386325
2011-04-18,F,Ford Motor,US Stock,High Vol,7.4390549659729,49822500.0,-0.613695701739081
2011-04-19,F,Ford Motor,US Stock,High Vol,7.45940828323364,33575500.0,0.273227239377372
2011-04-20,F,Ford Motor,US Stock,High Vol,7.67820262908936,70978900.0,2.89093946306105
2011-04-21,F,Ford Motor,US Stock,High Vol,7.85120487213135,53181900.0,2.22815198131165
2011-04-25,F,Ford Motor,US Stock,High Vol,7.90717458724976,54775800.0,0.710351602014025
2011-04-26,F,Ford Motor,US Stock,High Vol,7.96823263168335,166900000.0,0.769219266723997
2011-04-27,F,Ford Motor,US Stock,High Vol,7.92752647399902,84380600.0,-0.512164866048703
2011-04-28,F,Ford Motor,US Stock,High Vol,7.88682079315186,48145500.0,-0.514795458276884
2011-04-29,F,Ford Motor,US Stock,High Vol,7.87155723571777,40203200.0,-0.193719965081041
2011-05-02,F,Ford Motor,US Stock,High Vol,7.86138010025024,42185500.0,-0.129373640404218
2011-05-03,F,Ford Motor,US Stock,High Vol,7.82576274871826,68659100.0,-0.454096875110244
2011-05-04,F,Ford Motor,US Stock,High Vol,7.70872831344604,71753400.0,-1.5067973469399
2011-05-05,F,Ford Motor,US Stock,High Vol,7.67311143875122,62502900.0,-0.463103749920579
2011-05-06,F,Ford Motor,US Stock,High Vol,7.68837785720825,58371200.0,0.198762283902543
2011-05-09,F,Ford Motor,US Stock,High Vol,7.67311143875122,33369700.0,-0.198762283902543
2011-05-10,F,Ford Motor,US Stock,High Vol,7.70872831344604,36633400.0,0.463103749920579
2011-05-11,F,Ford Motor,US Stock,High Vol,7.70872831344604,54989600.0,0.0
2011-05-12,F,Ford Motor,US Stock,High Vol,7.76470327377319,48775700.0,0.723500849575398
2011-05-13,F,Ford Motor,US Stock,High Vol,7.67311143875122,43317100.0,-1.18660459949598
2011-05-16,F,Ford Motor,US Stock,High Vol,7.69855451583862,51778600.0,0.331038943960493
2011-05-17,F,Ford Motor,US Stock,High Vol,7.6171441078186,65261100.0,-1.06310755738699
2011-05-18,F,Ford Motor,US Stock,High Vol,7.69346618652344,41278000.0,0.996991098749911
2011-05-19,F,Ford Motor,US Stock,High Vol,7.69346618652344,38684200.0,0.0
2011-05-20,F,Ford Motor,US Stock,High Vol,7.63240623474121,39285300.0,-0.796826088299918
2011-05-23,F,Ford Motor,US Stock,High Vol,7.53064155578613,49529300.0,-1.34229223978322
2011-05-24,F,Ford Motor,US Stock,High Vol,7.45940828323364,48890300.0,-0.950414568569435
2011-05-25,F,Ford Motor,US Stock,High Vol,7.41869974136353,93969200.0,-0.547228765790697
2011-05-26,F,Ford Motor,US Stock,High Vol,7.408522605896,45961100.0,-0.137276380260465
2011-05-27,F,Ford Motor,US Stock,High Vol,7.42887830734253,35654200.0,0.274383826877367
2011-05-31,F,Ford Motor,US Stock,High Vol,7.59170246124268,66438900.0,2.168099017271
2011-06-01,F,Ford Motor,US Stock,High Vol,7.24061012268066,91509400.0,-4.73503955138608
2011-06-02,F,Ford Motor,US Stock,High Vol,7.21516942977905,58588100.0,-0.351979899453303
2011-06-03,F,Ford Motor,US Stock,High Vol,7.12866973876953,57295900.0,-1.20610303241544
2011-06-06,F,Ford Motor,US Stock,High Vol,7.07778453826904,54183600.0,-0.716370420392587
2011-06-07,F,Ford Motor,US Stock,High Vol,7.09813785552979,73208000.0,0.287153536552687
2011-06-08,F,Ford Motor,US Stock,High Vol,6.9709324836731,77161700.0,-1.80834746354925
2011-06-09,F,Ford Motor,US Stock,High Vol,7.02181529998779,55365400.0,0.727277320807929
2011-06-10,F,Ford Motor,US Stock,High Vol,6.79284381866455,96684000.0,-3.31520959173306
2011-06-13,F,Ford Motor,US Stock,High Vol,6.6859884262085,110748300.0,-1.58556214859513
2011-06-14,F,Ford Motor,US Stock,High Vol,6.83355140686035,61363200.0,2.18304532183891
2011-06-15,F,Ford Motor,US Stock,High Vol,6.691077709198,88736600.0,-2.1069556444234
2011-06-16,F,Ford Motor,US Stock,High Vol,6.52825355529785,91842200.0,-2.46354956229127
2011-06-17,F,Ford Motor,US Stock,High Vol,6.49772262573242,75778900.0,-0.468770786156236
2011-06-20,F,Ford Motor,US Stock,High Vol,6.5842227935791,51392800.0,1.32245512008018
2011-06-21,F,Ford Motor,US Stock,High Vol,6.77757740020752,72508100.0,2.89434210580566
2011-06-22,F,Ford Motor,US Stock,High Vol,6.79793119430542,42578600.0,0.299860726504186
2011-06-23,F,Ford Motor,US Stock,High Vol,6.85390186309814,59361900.0,0.819977539458017
2011-06-24,F,Ford Motor,US Stock,High Vol,6.73687076568604,82743600.0,-1.72225661302365
2011-06-27,F,Ford Motor,US Stock,High Vol,6.84881448745728,50005900.0,1.64800307460884
2011-06-28,F,Ford Motor,US Stock,High Vol,6.78266572952271,54013200.0,-0.970536964681723
2011-06-29,F,Ford Motor,US Stock,High Vol,6.82846164703369,54105500.0,0.672921339371535
2011-06-30,F,Ford Motor,US Stock,High Vol,7.01672649383545,74076900.0,2.71973843426525
2011-07-01,F,Ford Motor,US Stock,High Vol,7.13375949859619,66304800.0,1.65415765077379
2011-07-05,F,Ford Motor,US Stock,High Vol,7.17446279525757,47019400.0,0.56895127325256
2011-07-06,F,Ford Motor,US Stock,High Vol,7.10322761535645,46233600.0,-0.997861263852284
2011-07-07,F,Ford Motor,US Stock,High Vol,7.18463897705078,66182800.0,1.13959970485258
2011-07-08,F,Ford Motor,US Stock,High Vol,7.06252098083496,68539000.0,-1.71432043057131
2011-07-11,F,Ford Motor,US Stock,High Vol,6.77757740020752,61376200.0,-4.11823447095778
2011-07-12,F,Ford Motor,US Stock,High Vol,6.67581224441528,57768900.0,-1.51288410563177
2011-07-13,F,Ford Motor,US Stock,High Vol,6.75213718414307,44328200.0,1.13681932040461
2011-07-14,F,Ford Motor,US Stock,High Vol,6.66054725646973,45989000.0,-1.36574228264152
2011-07-15,F,Ford Motor,US Stock,High Vol,6.66054725646973,41208600.0,0.0
2011-07-18,F,Ford Motor,US Stock,High Vol,6.56386947631836,66084800.0,-1.46213635652606
2011-07-19,F,Ford Motor,US Stock,High Vol,6.66054725646973,53892600.0,1.46213635652606
2011-07-20,F,Ford Motor,US Stock,High Vol,6.6554594039917,33450700.0,-0.0764170949347109
2011-07-21,F,Ford Motor,US Stock,High Vol,6.75722408294678,43705600.0,1.51746862341782
2011-07-22,F,Ford Motor,US Stock,High Vol,6.77249050140381,26480600.0,0.225672534936816
2011-07-25,F,Ford Motor,US Stock,High Vol,6.70125341415405,45334300.0,-1.05743068121149
2011-07-26,F,Ford Motor,US Stock,High Vol,6.5842227935791,109165800.0,-1.76182842014541
2011-07-27,F,Ford Motor,US Stock,High Vol,6.29419136047363,113808600.0,-4.50490996239754
2011-07-28,F,Ford Motor,US Stock,High Vol,6.26874971389771,69884600.0,-0.405027472557173
2011-07-29,F,Ford Motor,US Stock,High Vol,6.21277904510498,68621600.0,-0.896861995753784
2011-08-01,F,Ford Motor,US Stock,High Vol,6.28401517868042,73771800.0,1.14008287081622
2011-08-02,F,Ford Motor,US Stock,High Vol,6.02960300445557,97171100.0,-4.13279640078927
2011-08-03,F,Ford Motor,US Stock,High Vol,5.9278359413147,127291500.0,-1.70219594373895
2011-08-04,F,Ford Motor,US Stock,High Vol,5.52586364746094,153368800.0,-7.02196609237788
2011-08-05,F,Ford Motor,US Stock,High Vol,5.51568555831909,139254200.0,-0.184359854491056
2011-08-08,F,Ford Motor,US Stock,High Vol,5.05265331268311,202155900.0,-8.76824391646358
2011-08-09,F,Ford Motor,US Stock,High Vol,5.55130290985107,177330900.0,9.41191449779202
2011-08-10,F,Ford Motor,US Stock,High Vol,5.29689025878906,119877300.0,-4.69127540066274
2011-08-11,F,Ford Motor,US Stock,High Vol,5.56657075881958,114926800.0,4.96592969196448
2011-08-12,F,Ford Motor,US Stock,High Vol,5.62762880325317,79279300.0,1.09089800688003
2011-08-15,F,Ford Motor,US Stock,High Vol,5.7751898765564,46283800.0,2.58829532043241
2011-08-16,F,Ford Motor,US Stock,High Vol,5.70904064178467,53398200.0,-1.15201390706579
2011-08-17,F,Ford Motor,US Stock,High Vol,5.65307092666626,52262000.0,-0.985207150935796
2011-08-18,F,Ford Motor,US Stock,High Vol,5.28162670135498,87073500.0,-6.79647866978852
2011-08-19,F,Ford Motor,US Stock,High Vol,5.08318328857422,87207200.0,-3.82964406989539
2011-08-22,F,Ford Motor,US Stock,High Vol,5.09336185455322,73424500.0,0.20003978226506
2011-08-23,F,Ford Motor,US Stock,High Vol,5.24600839614868,52107600.0,2.95293871587012
2011-08-24,F,Ford Motor,US Stock,High Vol,5.31724500656128,53035500.0,1.34878313811031
2011-08-25,F,Ford Motor,US Stock,High Vol,5.23074340820312,50166000.0,-1.64019022750026
2011-08-26,F,Ford Motor,US Stock,High Vol,5.29180335998535,59398700.0,1.16056765499306
2011-08-29,F,Ford Motor,US Stock,High Vol,5.56147813796997,48857900.0,4.97048374976763
2011-08-30,F,Ford Motor,US Stock,High Vol,5.53095102310181,50345100.0,-0.550414909029606
2011-08-31,F,Ford Motor,US Stock,High Vol,5.65815877914429,69283600.0,2.27387592614976
2011-09-01,F,Ford Motor,US Stock,High Vol,5.52077674865723,64031000.0,-2.45799695281597
2011-09-02,F,Ford Motor,US Stock,High Vol,5.30197906494141,62021000.0,-4.0438406387993
2011-09-06,F,Ford Motor,US Stock,High Vol,5.20021486282349,65558100.0,-1.93802148305
2011-09-07,F,Ford Motor,US Stock,High Vol,5.37321472167969,45052800.0,3.27264295301541
2011-09-08,F,Ford Motor,US Stock,High Vol,5.26127243041992,45105500.0,-2.10534696188489
2011-09-09,F,Ford Motor,US Stock,High Vol,5.11371326446533,69911300.0,-2.84470978613809
2011-09-12,F,Ford Motor,US Stock,High Vol,5.14424276351929,58352000.0,0.595237279451144
2011-09-13,F,Ford Motor,US Stock,High Vol,5.17477226257324,44205300.0,0.59171515989358
2011-09-14,F,Ford Motor,US Stock,High Vol,5.25109577178955,70810200.0,1.46414423101124
2011-09-15,F,Ford Motor,US Stock,High Vol,5.40883159637451,53843200.0,2.95963251770155
2011-09-16,F,Ford Motor,US Stock,High Vol,5.40374326705933,46858900.0,-0.0941187414666755
2011-09-19,F,Ford Motor,US Stock,High Vol,5.36303949356079,41663900.0,-0.756102696969663
2011-09-20,F,Ford Motor,US Stock,High Vol,5.30197906494141,37706900.0,-1.14507247156361
2011-09-21,F,Ford Motor,US Stock,High Vol,5.07300615310669,62227400.0,-4.41465878413625
2011-09-22,F,Ford Motor,US Stock,High Vol,4.89491748809814,115851100.0,-3.57361520202402
2011-09-23,F,Ford Motor,US Stock,High Vol,5.01703548431396,70702600.0,2.46417988159366
2011-09-26,F,Ford Motor,US Stock,High Vol,5.12897634506226,54424800.0,2.20668781061708
2011-09-27,F,Ford Motor,US Stock,High Vol,5.14933061599731,65062200.0,0.396063235309541
2011-09-28,F,Ford Motor,US Stock,High Vol,5.05265331268311,43567700.0,-1.89532149909153
2011-09-29,F,Ford Motor,US Stock,High Vol,5.08827257156372,52634800.0,0.702488229737996
2011-09-30,F,Ford Motor,US Stock,High Vol,4.92035865783691,56697200.0,-3.3556970276432
2011-10-03,F,Ford Motor,US Stock,High Vol,4.76771068572998,72828100.0,-3.1515176188023
2011-10-04,F,Ford Motor,US Stock,High Vol,5.12897634506226,103900000.0,7.30398468048949
2011-10-05,F,Ford Motor,US Stock,High Vol,5.37321472167969,96318100.0,4.65202776391493
2011-10-06,F,Ford Motor,US Stock,High Vol,5.59200811386108,86277500.0,3.99120818694003
2011-10-07,F,Ford Motor,US Stock,High Vol,5.43936443328857,87812400.0,-2.76762339806682
2011-10-10,F,Ford Motor,US Stock,High Vol,5.70395278930664,57668200.0,4.74971843818421
2011-10-11,F,Ford Motor,US Stock,High Vol,5.71921825408936,61332000.0,0.267272087794956
2011-10-12,F,Ford Motor,US Stock,High Vol,5.79045438766479,82907500.0,1.2378639327234
2011-10-13,F,Ford Motor,US Stock,High Vol,5.77010154724121,60021300.0,-0.352108697300513
2011-10-14,F,Ford Motor,US Stock,High Vol,5.88204193115234,54535700.0,1.92142892896183
2011-10-17,F,Ford Motor,US Stock,High Vol,5.80062770843506,53715600.0,-1.39378315413579
2011-10-18,F,Ford Motor,US Stock,High Vol,5.99398469924927,66804200.0,3.27902789247554
2011-10-19,F,Ford Motor,US Stock,High Vol,5.88204193115234,69510100.0,-1.88524473833975
2011-10-20,F,Ford Motor,US Stock,High Vol,5.95327663421631,62145700.0,1.20377939770426
2011-10-21,F,Ford Motor,US Stock,High Vol,6.23821830749512,86636000.0,4.67528511584854
2011-10-24,F,Ford Motor,US Stock,High Vol,6.36542892456055,68986900.0,2.01870037640166
2011-10-25,F,Ford Motor,US Stock,High Vol,6.32471942901611,77049100.0,-0.641594314870431
2011-10-26,F,Ford Motor,US Stock,High Vol,6.0397777557373,159678600.0,-4.60984587188313
2011-10-27,F,Ford Motor,US Stock,High Vol,6.14663219451904,132526600.0,1.75371053156197
2011-10-28,F,Ford Motor,US Stock,High Vol,6.10592555999756,60363200.0,-0.664461822693108
2011-10-31,F,Ford Motor,US Stock,High Vol,5.94310235977173,41740400.0,-2.70284231284923
