Ticker,Class,Sector,K,T,GARCH_LLF,GARCH_BIC,GARCH_beta,LKV_LLF,LKV_BIC,LR_stat,LR_df,LR_pval,LR_reject05,BIC_favors_spline,Half_Life,Tenth_Life,Hundredth_Life,SE_alpha,SE_c,SE_R2,SE_n_lags,Slope_1_5d,Slope_5_21d,Slope_21_63d,Slope_63_252d,g_1,g_2,g_5,g_10,g_21,g_42,g_63,g_126,g_252
SPY,US Index,Broad Market,6,6599,-2466.548751,4967.958398,0.878943,-2413.526728,4905.490473,106.044046,5,0.000000,True,True,7,15,72,0.202265,3.372188,0.948681,97,-0.190626,-1.933414,-1.272778,-1.626209,1.000000,1.145609,0.704094,0.213625,0.048668,0.018064,0.011509,0.004933,0.001316
QQQ,US Index,Tech-Heavy,6,6599,-4051.638994,8138.138885,0.893929,-4008.098174,8094.633364,87.081641,5,0.000000,True,True,8,18,143,0.147988,4.840759,0.850899,97,-0.155081,-1.745427,-1.495711,-2.196952,1.000000,1.096789,0.753948,0.293172,0.066936,0.017361,0.013041,0.013065,0.000897
IWM,US Index,Small Cap,6,6498,-4409.800722,8854.395500,0.899183,-4385.235531,8848.757690,49.130382,5,0.000000,True,True,8,21,94,0.404153,0.871599,0.983729,96,-0.064474,-1.568105,-1.244535,-0.845229,1.000000,1.217164,0.866410,0.322347,0.099978,0.046141,0.024320,0.005944,0.006214
DIA,US Index,Blue Chip,6,6599,-2122.872060,4280.605017,0.870747,-2084.082498,4246.602012,77.579126,5,0.000000,True,True,7,15,72,0.273848,2.098783,0.975478,97,-0.224415,-1.847252,-1.232118,-2.125645,1.000000,1.115289,0.667201,0.203570,0.052003,0.022587,0.012702,0.002897,0.000700
MDY,US Index,Mid Cap,6,6599,-3527.583843,7090.028583,0.890680,-3496.814309,7072.065635,61.539068,5,0.000000,True,True,7,18,80,0.366459,1.166119,0.985219,97,-0.178748,-1.610966,-1.402554,-0.782904,1.000000,1.102864,0.723159,0.266068,0.077986,0.031409,0.016121,0.004369,0.004499
XLK,Sector ETF,Technology,6,6599,-4133.745273,8302.351443,0.899171,-4087.102579,8252.642174,93.285389,5,0.000000,True,True,7,18,139,0.142058,5.052398,0.888239,99,-0.283691,-1.576772,-1.469102,-2.489903,1.000000,0.957964,0.617650,0.263607,0.068631,0.018631,0.013880,0.012676,0.000660
XLF,Sector ETF,Financials,6,6599,-4224.418680,8483.698257,0.876649,-4181.064494,8440.566005,86.708372,5,0.000000,True,True,6,14,75,0.193264,3.578098,0.975520,99,-0.378617,-1.747856,-1.123867,-1.591154,1.000000,0.962639,0.524022,0.168289,0.046392,0.020898,0.012853,0.004156,0.001449
XLE,Sector ETF,Energy,6,6599,-5443.139435,10921.139767,0.921314,-5431.354106,10941.145229,23.570659,5,0.000262,True,False,6,24,79,0.519863,0.528391,0.995898,99,-0.318630,-1.188537,-1.592904,-1.142255,1.000000,0.911944,0.586280,0.281052,0.111969,0.045865,0.019216,0.002991,0.003055
XLV,Sector ETF,Healthcare,6,6599,-2428.919256,4892.699407,0.883044,-2409.600204,4897.637424,38.638103,5,0.000000,True,False,7,17,83,0.768911,0.217432,0.554393,97,-0.218261,-1.797544,-0.668017,-26.025345,1.000000,1.010608,0.685322,0.285557,0.055944,0.013273,0.027947,0.000000,0.000000
XLP,Sector ETF,Consumer Staples,6,6599,-1376.850140,2788.561175,0.889036,-1367.078408,2812.593833,19.543462,5,0.001522,True,False,6,18,60,0.368273,1.281663,0.988954,99,-0.399569,-1.399771,-1.905770,-3.358934,1.000000,0.850114,0.515867,0.238643,0.072734,0.019236,0.009142,0.002129,0.000112
XLU,Sector ETF,Utilities,6,6599,-2934.913811,5904.688519,0.905474,-2917.210743,5912.858503,35.406136,5,0.000001,True,False,3,16,63,0.378887,1.228895,0.998853,99,-0.687974,-1.116069,-1.785950,-2.483814,1.000000,0.649231,0.328037,0.166826,0.067478,0.022791,0.009630,0.001539,0.000309
XLI,Sector ETF,Industrials,6,6599,-3381.449450,6797.759796,0.918094,-3360.019282,6798.475581,42.860335,5,0.000000,True,False,6,21,78,0.433561,0.820085,0.997210,99,-0.340399,-1.254352,-1.636709,-1.141057,1.000000,0.893841,0.566557,0.269541,0.098435,0.035402,0.016274,0.003821,0.002828
XLY,Sector ETF,Consumer Disc,6,6599,-3671.470426,7377.801747,0.895397,-3643.789903,7366.016821,55.361046,5,0.000000,True,True,7,19,86,0.296855,1.740302,0.947472,98,-0.197609,-1.560073,-1.707428,-1.183621,1.000000,1.032475,0.707659,0.303266,0.080956,0.021651,0.012540,0.007499,0.002538
XLB,Sector ETF,Materials,6,6599,-4203.783229,8442.427353,0.909792,-4171.521852,8421.480720,64.522754,5,0.000000,True,True,6,18,91,0.318312,1.438196,0.989316,99,-0.318979,-1.423000,-1.214630,-0.769620,1.000000,0.956753,0.581329,0.233157,0.080634,0.037491,0.020529,0.005898,0.005944
EWJ,International,Japan,6,6599,-3829.742446,7694.345788,0.893768,-3811.114832,7700.666681,37.255227,5,0.000001,True,False,4,15,71,0.280213,2.022564,0.996997,99,-0.598415,-1.318800,-1.393889,-2.514545,1.000000,0.736727,0.374913,0.160463,0.058921,0.024489,0.012558,0.002506,0.000417
EWG,International,Germany,6,6599,-4621.274175,9277.409245,0.909584,-4604.071892,9286.580800,34.404565,5,0.000002,True,False,8,21,84,0.399030,0.961754,0.981543,98,-0.178500,-1.437235,-1.654963,-1.215525,1.000000,1.045170,0.729884,0.323202,0.099335,0.031691,0.016100,0.005446,0.002776
EWU,International,UK,6,6599,-3621.264055,7277.389007,0.892057,-3607.063713,7292.564442,28.400686,5,0.000030,True,False,6,18,45,0.295734,1.990707,0.932711,99,-0.394228,-1.432307,-2.276470,-1.691382,1.000000,0.821391,0.523586,0.270086,0.069890,0.011596,0.006119,0.004825,0.000696
EWC,International,Canada,6,6599,-3617.401063,7269.663021,0.911041,-3593.717860,7265.872737,47.366405,5,0.000000,True,True,6,19,78,0.426543,0.850026,0.992586,99,-0.338792,-1.350963,-1.416562,-1.047009,1.000000,0.929383,0.564501,0.236960,0.086335,0.038433,0.017692,0.003167,0.003284
EWA,International,Australia,6,6599,-4639.813524,9314.487944,0.905696,-4615.322855,9309.082727,48.981337,5,0.000000,True,True,4,16,71,0.339324,1.431441,0.997619,99,-0.573458,-1.247159,-1.503785,-1.183779,1.000000,0.741962,0.390934,0.176706,0.067856,0.027391,0.012884,0.002796,0.002106
EWZ,International,Brazil,6,6465,-7140.263045,14315.298064,0.899613,-7124.117537,14326.472015,32.291016,5,0.000005,True,False,5,16,73,0.406030,0.988371,0.985903,99,-0.493391,-1.305110,-1.368617,-1.241181,1.000000,0.817618,0.441672,0.182822,0.071462,0.034903,0.015353,0.002102,0.002138
EWY,International,South Korea,6,6508,-5825.317788,11685.436301,0.903945,-5803.224060,11684.749750,44.187457,5,0.000000,True,True,9,20,95,0.382846,0.968228,0.976594,95,0.047168,-1.750321,-1.119262,-0.907461,1.000000,1.391781,1.027339,0.333962,0.093114,0.046508,0.025475,0.005890,0.006025
FXI,International,China,6,5402,-5123.348268,10280.682865,0.912184,-5109.617462,10295.704163,27.461613,5,0.000046,True,False,6,17,86,0.300518,1.641131,0.990142,99,-0.377883,-1.429645,-1.214001,-2.295937,1.000000,0.911346,0.529426,0.210281,0.072518,0.033527,0.018493,0.003993,0.000819
