Ticker,Class,Sector,K,T,GARCH_LLF,GARCH_BIC,GARCH_beta,LKV_LLF,LKV_BIC,LR_stat,LR_df,LR_pval,LR_reject05,BIC_favors_spline,Half_Life,Tenth_Life,Hundredth_Life,SE_alpha,SE_c,SE_R2,SE_n_lags,Slope_1_5d,Slope_5_21d,Slope_21_63d,Slope_63_252d,g_1,g_2,g_5,g_10,g_21,g_42,g_63,g_126,g_252
MRK,US Stock,Healthcare,8,6599,-5584.391670,11203.644236,0.907257,-5560.354676,11216.576816,48.073989,7,0.000000,True,False,2,9,95,0.083920,10.000000,0.825814,99,-0.489278,-1.101587,-1.579139,-31.365844,1.000000,0.379892,0.394797,0.078101,0.063739,0.014633,0.014562,0.000016,0.000000
CAT,US Stock,Industrials,8,6599,-6671.431834,13377.724565,0.948647,-6656.051341,13407.970146,30.760987,7,0.000069,True,False,11,53,252,0.571829,0.282691,0.978371,95,0.047689,-1.205818,-0.906032,-0.868882,1.000000,1.154626,1.049238,0.547416,0.209273,0.127851,0.072379,0.015423,0.017764
BA,US Stock,Industrials,8,6599,-6606.021327,13246.903550,0.928737,-6574.137010,13244.141485,63.768634,7,0.000000,True,True,5,16,98,0.208646,2.769005,0.969913,99,-0.506339,-1.497226,-0.660146,-1.005007,1.000000,0.717340,0.440899,0.230703,0.061877,0.040368,0.026472,0.006195,0.005763
MMM,US Stock,Industrials,8,6599,-5065.855107,10166.571110,0.929785,-4989.339455,10074.546375,153.031303,7,0.000000,True,True,9,16,198,0.066988,10.000000,0.547202,99,-0.163233,-2.110167,-0.009264,-2.201390,1.000000,0.796080,0.752128,0.359358,0.050008,0.031207,0.041502,0.044502,0.003179
HON,US Stock,Industrials,8,6599,-5123.036295,10280.933487,0.920888,-5078.012741,10251.892947,90.047108,7,0.000000,True,True,4,15,97,0.077164,10.000000,0.832423,99,-0.615278,-2.007748,0.321879,-1.300527,1.000000,0.794670,0.391064,0.279272,0.033727,0.038987,0.034612,0.004779,0.005103
TSLA,US Stock,High Vol,8,3962,-5934.628154,11901.850091,0.954411,-5919.477041,11928.586985,30.302226,7,0.000084,True,False,4,26,116,0.320086,1.175583,0.970411,98,-0.921048,-0.592949,-0.822307,-3.001477,1.000000,1.284807,0.258509,0.352141,0.123351,0.069570,0.044604,0.007706,0.000839
AMD,US Stock,High Vol,8,6599,-10730.715620,21496.292137,0.945429,-10672.819744,21441.506952,115.791753,7,0.000000,True,True,6,9,77,0.614531,0.351907,0.240702,81,-0.280340,-1.133907,0.201671,-18.451987,1.000000,1.025019,0.561206,0.081232,0.081629,0.048418,0.123749,0.000000,0.000000
MU,US Stock,High Vol,8,6599,-9753.496765,19541.854425,0.951437,-9745.651798,19587.171060,15.689934,7,0.028105,True,False,4,33,102,0.540801,0.422412,0.993559,99,-0.588876,-0.492821,-1.818543,-0.741327,1.000000,0.687225,0.394248,0.323556,0.190757,0.063796,0.027289,0.007534,0.007768
F,US Stock,High Vol,8,6599,-7817.237461,15669.335819,0.919549,-7767.276903,15630.421270,99.921117,7,0.000000,True,True,2,8,72,0.087970,10.000000,0.972262,99,-0.806676,-0.993331,-1.532479,-1.677333,1.000000,0.352404,0.248885,0.067070,0.051638,0.019348,0.011002,0.006801,0.001230
CL,US Stock,Low Vol,8,6599,-3831.811357,7698.483610,0.830752,-3785.673770,7667.215005,92.275173,7,0.000000,True,True,4,9,60,1.865477,0.002769,0.831539,92,-0.814819,-1.950318,-1.128168,-9.178827,1.000000,0.873344,0.268357,0.074531,0.023765,0.104967,0.004252,0.000000,0.000000
