Ticker,Class,Sector,K,T,GARCH_LLF,GARCH_BIC,GARCH_beta,LKV_LLF,LKV_BIC,LR_stat,LR_df,LR_pval,LR_reject05,BIC_favors_spline,Half_Life,Tenth_Life,Hundredth_Life,SE_alpha,SE_c,SE_R2,SE_n_lags,Slope_1_5d,Slope_5_21d,Slope_21_63d,Slope_63_252d,g_1,g_2,g_5,g_10,g_21,g_42,g_63,g_126,g_252
SPY,US Index,Broad Market,12,6599,-2466.548751,4967.958398,0.878943,-2405.166562,4941.061485,122.764377,11,0.000000,True,True,7,15,72,0.267355,2.300564,0.842379,98,-0.315383,-2.246628,0.364744,-1.305640,1.000000,1.223302,0.603398,0.272534,0.027014,0.017960,0.019680,0.004285,0.001044
QQQ,US Index,Tech-Heavy,12,6599,-4051.638994,8138.138885,0.893929,-4006.473314,8143.674989,90.331361,11,0.000000,True,False,8,18,151,0.188113,3.482613,0.898315,98,-0.187355,-1.716389,-1.010350,-2.873593,1.000000,1.093521,0.721220,0.290892,0.068228,0.017270,0.018435,0.012938,0.000202
IWM,US Index,Small Cap,12,6498,-4409.800722,8854.395500,0.899183,-4381.882663,8894.243040,55.836117,11,0.000000,True,False,9,17,76,0.550866,0.462908,0.940463,98,-0.218158,-1.820677,-0.785207,-0.406445,1.000000,1.189207,0.718117,0.370175,0.082414,0.048225,0.026874,0.005790,0.004509
DIA,US Index,Blue Chip,12,6599,-2122.872060,4280.605017,0.870747,-2074.432366,4279.593092,96.879390,11,0.000000,True,True,6,16,70,0.988491,0.095311,0.754981,98,-0.344100,-2.074995,0.627702,-20.065470,1.000000,1.149713,0.571149,0.264263,0.028620,0.020830,0.022884,0.000008,0.000000
MDY,US Index,Mid Cap,12,6599,-3527.583843,7090.028583,0.890680,-3493.240404,7117.209169,68.686879,11,0.000000,True,False,8,16,73,0.488299,0.670240,0.910809,98,-0.248942,-1.808038,-0.527016,-0.451227,1.000000,1.050423,0.671177,0.300557,0.072384,0.027182,0.026178,0.004017,0.003353
XLK,Sector ETF,Technology,12,6599,-4133.745273,8302.351443,0.899171,-4081.867451,8294.463263,103.755645,11,0.000000,True,True,6,19,145,0.196780,3.174020,0.914574,98,-0.346758,-1.372623,-0.796820,-3.537894,1.000000,1.167123,0.567654,0.274236,0.072625,0.020967,0.022073,0.014645,0.000134
XLF,Sector ETF,Financials,12,6599,-4224.418680,8483.698257,0.876649,-4177.432996,8485.594353,93.971368,11,0.000000,True,False,5,14,65,0.358845,1.368396,0.953349,98,-0.487628,-1.955436,-0.930580,-1.503776,1.000000,1.128346,0.462163,0.202209,0.035205,0.030792,0.010704,0.003904,0.000278
XLE,Sector ETF,Energy,12,6599,-5443.139435,10921.139767,0.921314,-5418.805002,10968.338365,48.668866,11,0.000001,True,False,5,15,76,1.449156,0.011362,0.844908,98,-0.488842,-1.638151,-1.503949,-21.439902,1.000000,1.099304,0.499271,0.393457,0.108215,0.053560,0.024957,0.000004,0.000000
XLV,Sector ETF,Healthcare,12,6599,-2428.919256,4892.699407,0.883044,-2409.982923,4950.694206,37.872666,11,0.000082,True,False,7,16,83,0.920048,0.113801,0.593311,98,-0.245625,-1.824554,-1.450668,-17.307900,1.000000,1.030472,0.663899,0.282285,0.060508,0.018269,0.019830,0.000000,0.000000
XLP,Sector ETF,Consumer Staples,12,6599,-1376.850140,2788.561175,0.889036,-1356.082209,2842.892778,41.535862,11,0.000019,True,False,4,18,67,0.646163,0.386823,0.545086,69,-0.592726,-1.462200,-0.607383,-7.265812,1.000000,1.121759,0.408086,0.312035,0.057399,0.022653,0.023374,0.000000,0.000000
